model,model_name,method,held_out_task,performance_col,n_queries,mean_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10,source_artifact
mt5,mT5,single_new_gen,masakhaner,f1_score,19,18.0,6,2,1032,329,47.03726915111627,5.093288123131186,15.789473684210526,15.789473684210526,26.034104784104777,8.368421052631579,60.52631578947369,10.0,53.1578947368421,78.94736842105263,7.8947368421052655,78.94736842105263,78.94736842105263,24.953741776315788,15.789473684210526,68.42105263157895,20.52631578947368,89.47368421052632,66.08187134502924,30.70045936721981,15.789473684210526,47.7683000594385,65.26315789473685,32.631578947368425,100.0,59.01754385964914,34.07120354929729,26.31578947368421,55.96131214297735,60.52631578947369,60.52631578947369,100.0,48.46992481203007,38.15894820239269,57.89473684210527,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,single_distals_asjp,masakhaner,f1_score,19,18.0,6,2,1032,329,48.48291855999114,6.2017857072998765,21.052631578947366,26.31578947368421,31.1785363759048,8.526315789473685,65.78947368421053,10.0,47.89473684210526,68.42105263157895,6.8421052631578965,68.42105263157895,68.42105263157895,28.32545230263157,21.052631578947366,70.17543859649122,21.052631578947366,94.73684210526316,61.69590643274854,35.08465635966052,26.31578947368421,52.825003560253656,73.68421052631578,36.84210526315789,100.0,63.22807017543859,39.26474717176213,42.10526315789473,60.48176504981716,65.78947368421053,65.78947368421053,100.0,53.22577276524646,41.490977732230455,57.89473684210527,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,single_new_geo,masakhaner,f1_score,19,18.0,6,2,1032,329,46.76981008372794,6.9339308026945785,21.052631578947366,31.57894736842105,34.826649958228906,6.157894736842105,64.21052631578948,10.0,41.578947368421055,73.68421052631578,7.368421052631581,73.68421052631578,73.68421052631578,25.092516447368425,21.052631578947366,73.68421052631578,22.10526315789474,100.0,66.08187134502924,36.07011228930532,31.57894736842105,50.00296706332229,69.47368421052632,34.73684210526316,100.0,59.91228070175437,40.27578882367256,42.10526315789473,58.86987325590418,64.21052631578948,64.21052631578948,100.0,50.87698412698413,43.8852194369803,94.73684210526316,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,lightgbm_lambdarank,masakhaner,f1_score,19,18.0,6,2,1032,329,52.41512498322653,7.05180511716811,15.789473684210526,31.57894736842105,31.702551834130787,6.578947368421052,61.57894736842104,10.0,56.31578947368422,84.21052631578947,8.42105263157895,84.21052631578947,84.21052631578947,27.09703947368421,15.789473684210526,73.68421052631578,22.10526315789474,100.0,68.12865497076024,37.695355620235205,31.57894736842105,52.34460862514476,69.47368421052632,34.73684210526316,100.0,61.98245614035087,40.9207641194644,42.10526315789473,58.18633410238506,61.57894736842104,61.57894736842104,100.0,49.72159565580617,43.70278569409619,78.94736842105263,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,mlp_listnet,masakhaner,f1_score,19,18.0,6,2,1032,329,45.130037329614254,8.450528658025938,15.789473684210526,31.57894736842105,27.47917287390972,9.263157894736842,57.36842105263156,10.0,43.15789473684211,68.42105263157895,6.8421052631578965,68.42105263157895,68.42105263157895,26.45456414473684,15.789473684210526,71.9298245614035,21.57894736842105,94.73684210526316,64.32748538011694,35.40670931535332,31.57894736842105,49.30723423179681,72.63157894736842,36.31578947368421,100.0,62.122807017543856,37.67026874482647,31.57894736842105,51.49104522883066,57.36842105263156,57.36842105263156,100.0,45.46804511278194,39.3671119016842,42.10526315789473,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,single_script,masakhaner,f1_score,19,18.0,6,2,1032,329,32.011432549469994,10.291925317322912,0.0,10.526315789473683,13.145231961021436,12.210526315789474,53.1578947368421,10.0,29.561403508771928,57.89473684210527,5.789473684210527,57.89473684210527,57.89473684210527,1.968544407894737,0.0,68.42105263157893,20.52631578947369,100.0,56.7251461988304,15.093294534374747,10.526315789473683,33.766230010653885,67.36842105263158,33.68421052631579,100.0,55.92982456140351,16.876153352324987,21.052631578947366,44.30986142664799,53.1578947368421,53.1578947368421,100.0,39.25689223057644,20.17656733291446,31.57894736842105,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,random,masakhaner,f1_score,19,18.0,6,2,1032,329,19.922401497849343,10.317295893578514,0.0,15.789473684210526,12.751218080165447,12.36842105263158,54.210526315789465,10.0,12.631578947368425,52.63157894736842,5.263157894736842,52.63157894736842,52.63157894736842,1.6961348684210529,0.0,43.85964912280702,13.157894736842108,78.94736842105263,35.67251461988303,11.44167158523934,15.789473684210526,22.127819202832196,43.15789473684211,21.57894736842105,94.73684210526316,30.87719298245614,13.522980059227066,15.789473684210526,36.286118628551456,54.210526315789465,54.210526315789465,100.0,32.57623224728488,16.34726189019828,31.57894736842105,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,rrf_equal,masakhaner,f1_score,19,18.0,6,2,1032,329,43.25147999245559,10.482374281774414,10.526315789473683,26.31578947368421,23.977199700883915,8.68421052631579,64.21052631578948,10.0,37.368421052631575,63.1578947368421,6.315789473684212,63.1578947368421,63.1578947368421,17.064144736842106,10.526315789473683,71.9298245614035,21.57894736842105,94.73684210526316,63.15789473684209,28.58417280214397,26.31578947368421,48.0030016441737,71.57894736842104,35.78947368421052,100.0,61.36842105263158,31.92847631768774,31.57894736842105,55.82482075663088,64.21052631578948,64.21052631578948,100.0,51.17272347535506,34.73887693368678,63.1578947368421,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,single_distals_wiki_size,masakhaner,f1_score,19,18.0,6,2,1032,329,20.67157424837973,10.497479062063707,0.0,0.0,13.240984162036792,9.842105263157896,57.36842105263157,10.0,18.771929824561408,52.63157894736842,5.263157894736842,52.63157894736842,52.63157894736842,3.1969572368421053,0.0,42.10526315789473,12.631578947368425,89.47368421052632,33.33333333333333,6.827319911762809,0.0,28.29046983264255,51.57894736842105,25.789473684210524,100.0,35.57894736842105,13.033393329331588,26.31578947368421,42.17349761450777,57.36842105263157,57.36842105263157,100.0,35.48872180451127,17.8982734872762,57.89473684210527,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,composite_equal,masakhaner,f1_score,19,18.0,6,2,1032,329,39.790498869869936,11.606533846457236,15.789473684210526,21.052631578947366,26.67540062276904,8.421052631578947,61.05263157894737,10.0,31.052631578947366,57.89473684210527,5.789473684210527,57.89473684210527,57.89473684210527,19.14576480263158,15.789473684210526,70.17543859649123,21.052631578947366,94.73684210526316,59.64912280701754,27.3781405680143,21.052631578947366,44.05934605881141,67.36842105263158,33.68421052631579,100.0,56.21052631578948,30.47171322619251,26.31578947368421,52.07509255724179,61.05263157894737,61.05263157894737,100.0,46.33270676691728,33.90541166264718,57.89473684210527,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
mt5,mT5,single_new_typ,masakhaner,f1_score,19,18.0,6,2,1032,329,38.465891263808736,13.724782612863736,0.0,15.789473684210526,14.700883911410228,9.894736842105264,65.78947368421053,10.0,27.89473684210526,63.1578947368421,6.315789473684212,63.1578947368421,63.1578947368421,6.352796052631579,0.0,64.91228070175438,19.473684210526315,89.47368421052632,58.47953216374268,16.77433939552621,15.789473684210526,41.83927052157696,67.36842105263158,33.68421052631579,94.73684210526316,56.98245614035088,19.42415163200668,21.052631578947366,52.24964596453078,65.78947368421053,65.78947368421053,100.0,50.39870509607351,23.799622885789194,52.63157894736842,/lustre09/project/6087787/khanadi7/langrankplus/artifacts/cross_task_generalization/mt5/summary_by_heldout_task.csv
